student_id,first_name,last_name,dob,school,game_id,game,genre,tournament_id,city,year,score
S022,Jack,Lee,2009-11-21,Auckland Central College,G002,Rocket Arena,Sports,T012,Wellington,2026,103
S024,Charlotte,Smith,2012-05-13,Harbour View High,G008,Ultimate Football Pro,Sports,T006,Dunedin,2024,735
S055,Isla,Brown,2011-01-22,Westlake Academy,G007,Galaxy Fighters,Fighting,T006,Dunedin,2024,417
S014,Daniel,Brown,2012-06-29,Westlake Academy,G008,Ultimate Football Pro,Sports,T006,Dunedin,2024,880
S049,Amelia,Smith,2010-03-02,Harbour View High,G004,Speed Racers X,Racing,T014,Auckland,2026,235
S025,Noah,King,2011-04-15,Southern Tech School,G001,Valor Strike,FPS,T014,Auckland,2026,474
S025,Noah,King,2011-04-15,Southern Tech School,G005,Battle Zone Elite,FPS,T014,Auckland,2026,996
S012,Daniel,King,2009-06-27,Auckland Central College,G007,Galaxy Fighters,Fighting,T006,Dunedin,2024,120
S059,Sophia,Perera,2008-06-13,Harbour View High,G005,Battle Zone Elite,FPS,T002,Auckland,2026,980
S017,Jack,Walker,2010-06-08,Westlake Academy,G006,Fantasy Kingdoms,Strategy,T001,Dunedin,2024,439
S004,Liam,Singh,2009-11-28,Harbour View High,G007,Galaxy Fighters,Fighting,T005,Dunedin,2024,160
S030,Grace,Lee,2011-01-03,Northside Secondary,G006,Fantasy Kingdoms,Strategy,T004,Christchurch,2026,712
S029,Daniel,Singh,2011-01-19,Harbour View High,G005,Battle Zone Elite,FPS,T014,Auckland,2026,499
S037,Jack,Lee,2012-06-17,Auckland Central College,G006,Fantasy Kingdoms,Strategy,T004,Christchurch,2026,757
S030,Grace,Lee,2011-01-03,Northside Secondary,G005,Battle Zone Elite,FPS,T006,Dunedin,2024,99
S012,Daniel,King,2009-06-27,Auckland Central College,G002,Rocket Arena,Sports,T001,Dunedin,2024,488
S043,Noah,King,2012-03-03,Auckland Central College,G008,Ultimate Football Pro,Sports,T012,Wellington,2026,185
S031,Ava,Singh,2008-03-31,Northside Secondary,G001,Valor Strike,FPS,T008,Hamilton,2024,604
S010,Olivia,Singh,2008-07-08,Auckland Central College,G006,Fantasy Kingdoms,Strategy,T014,Auckland,2026,428
S058,Leo,Smith,2009-06-25,Westlake Academy,G004,Speed Racers X,Racing,T010,Dunedin,2025,934
S003,Jack,Perera,2010-02-15,Southern Tech School,G008,Ultimate Football Pro,Sports,T009,Christchurch,2026,971
S059,Sophia,Perera,2008-06-13,Harbour View High,G005,Battle Zone Elite,FPS,T012,Wellington,2026,644
S058,Leo,Smith,2009-06-25,Westlake Academy,G001,Valor Strike,FPS,T006,Dunedin,2024,797
S025,Noah,King,2011-04-15,Southern Tech School,G004,Speed Racers X,Racing,T012,Wellington,2026,959
S005,Jack,Taylor,2009-11-21,Harbour View High,G005,Battle Zone Elite,FPS,T005,Dunedin,2024,222
S027,Ruby,Scott,2010-12-25,Auckland Central College,G006,Fantasy Kingdoms,Strategy,T007,Hamilton,2025,94
S039,Daniel,Smith,2009-06-21,Westlake Academy,G001,Valor Strike,FPS,T008,Hamilton,2024,739
S011,Amelia,Fernando,2009-08-20,Northside Secondary,G004,Speed Racers X,Racing,T001,Dunedin,2024,325
S034,Emma,Fernando,2008-01-01,Auckland Central College,G003,Legends Clash,MOBA,T013,Wellington,2026,804
S060,Ava,Brown,2012-04-01,Southern Tech School,G004,Speed Racers X,Racing,T005,Dunedin,2024,561
S056,Noah,Wilson,2009-11-27,Westlake Academy,G008,Ultimate Football Pro,Sports,T004,Christchurch,2026,339
S034,Emma,Fernando,2008-01-01,Auckland Central College,G002,Rocket Arena,Sports,T002,Auckland,2026,503
S040,Amelia,Taylor,2009-11-16,Auckland Central College,G005,Battle Zone Elite,FPS,T013,Wellington,2026,249
S034,Emma,Fernando,2008-01-01,Auckland Central College,G002,Rocket Arena,Sports,T011,Christchurch,2025,451
S027,Ruby,Scott,2010-12-25,Auckland Central College,G008,Ultimate Football Pro,Sports,T002,Auckland,2026,111
S037,Jack,Lee,2012-06-17,Auckland Central College,G007,Galaxy Fighters,Fighting,T013,Wellington,2026,719
S028,Ethan,Chen,2011-08-01,Harbour View High,G006,Fantasy Kingdoms,Strategy,T003,Christchurch,2024,555
S009,Grace,Patel,2012-02-08,Auckland Central College,G004,Speed Racers X,Racing,T015,Dunedin,2025,266
S016,Leo,Roberts,2008-01-26,Westlake Academy,G001,Valor Strike,FPS,T004,Christchurch,2026,981
S014,Daniel,Brown,2012-06-29,Westlake Academy,G002,Rocket Arena,Sports,T007,Hamilton,2025,999
S002,Emma,King,2009-06-29,Auckland Central College,G001,Valor Strike,FPS,T007,Hamilton,2025,721
S021,Mia,Singh,2011-09-09,Southern Tech School,G001,Valor Strike,FPS,T001,Dunedin,2024,996
S016,Leo,Roberts,2008-01-26,Westlake Academy,G007,Galaxy Fighters,Fighting,T012,Wellington,2026,348
S060,Ava,Brown,2012-04-01,Southern Tech School,G003,Legends Clash,MOBA,T005,Dunedin,2024,165
S019,Ruby,Smith,2010-02-06,Harbour View High,G006,Fantasy Kingdoms,Strategy,T004,Christchurch,2026,577
S002,Emma,King,2009-06-29,Auckland Central College,G006,Fantasy Kingdoms,Strategy,T013,Wellington,2026,206
S030,Grace,Lee,2011-01-03,Northside Secondary,G004,Speed Racers X,Racing,T007,Hamilton,2025,277
S033,Mia,Lee,2011-11-03,Northside Secondary,G007,Galaxy Fighters,Fighting,T007,Hamilton,2025,623
S013,Ethan,Taylor,2012-04-23,Westlake Academy,G007,Galaxy Fighters,Fighting,T002,Auckland,2026,975
S032,Ava,Wilson,2009-01-30,Southern Tech School,G001,Valor Strike,FPS,T005,Dunedin,2024,192
S031,Ava,Singh,2008-03-31,Northside Secondary,G002,Rocket Arena,Sports,T003,Christchurch,2024,174
S030,Grace,Lee,2011-01-03,Northside Secondary,G006,Fantasy Kingdoms,Strategy,T009,Christchurch,2026,679
S002,Emma,King,2009-06-29,Auckland Central College,G008,Ultimate Football Pro,Sports,T009,Christchurch,2026,411
S019,Ruby,Smith,2010-02-06,Harbour View High,G006,Fantasy Kingdoms,Strategy,T004,Christchurch,2026,449
S060,Ava,Brown,2012-04-01,Southern Tech School,G001,Valor Strike,FPS,T002,Auckland,2026,570
S054,Charlotte,Perera,2008-10-08,Auckland Central College,G002,Rocket Arena,Sports,T010,Dunedin,2025,730
S021,Mia,Singh,2011-09-09,Southern Tech School,G002,Rocket Arena,Sports,T013,Wellington,2026,734
S014,Daniel,Brown,2012-06-29,Westlake Academy,G007,Galaxy Fighters,Fighting,T003,Christchurch,2024,478
S009,Grace,Patel,2012-02-08,Auckland Central College,G008,Ultimate Football Pro,Sports,T003,Christchurch,2024,921
S056,Noah,Wilson,2009-11-27,Westlake Academy,G001,Valor Strike,FPS,T003,Christchurch,2024,857
S051,Grace,Wilson,2012-11-18,Northside Secondary,G002,Rocket Arena,Sports,T006,Dunedin,2024,83
S007,Noah,Roberts,2012-05-03,Westlake Academy,G003,Legends Clash,MOBA,T004,Christchurch,2026,518
S028,Ethan,Chen,2011-08-01,Harbour View High,G004,Speed Racers X,Racing,T011,Christchurch,2025,464
S004,Liam,Singh,2009-11-28,Harbour View High,G001,Valor Strike,FPS,T003,Christchurch,2024,167
S030,Grace,Lee,2011-01-03,Northside Secondary,G002,Rocket Arena,Sports,T003,Christchurch,2024,734
